id,question,answer,requires_supplemental,relevant_passages
2-2.2-q1,"A mayor enacts a policy that prohibits police officers in his city from enforcing a state law prohibiting the possession and use of marijuana. The mayor’s policy specifically states that within the city limits, marijuana is legal to possess and use. Which constitutional principle is the mayor violating? Which branch of government should check and balance the mayor’s behavior in this matter?","The mayor is violating separation of powers because members of the executive branch cannot invalidate or supersede laws passed by the legislative branch; only the *judicial* branch is entitled to do this via *judicial review*. The judicial branch should check and balance this action, *if* someone attacks the mayor’s policy in court.",False,['2-2.2']
2-2.2-q3,"Read *Hamdi v. Rumsfeld*, 542 U.S. 507 (2004). In *Hamdi*, the US Supreme Court reviewed the US Court of Appeals for the Fourth Circuit’s decision prohibiting the release of a US citizen who was held as an enemy combatant in Virginia during the Afghanistan War. The citizen’s detention was based on a federal statute that deprived him of the opportunity to consult with an attorney or have a trial. Did the US Supreme Court defer to the federal statute? Why or why not? The case is available at this link: <http://scholar.google.com/scholar_case?case=6173897153146757813&hl=en&as_sdt=2&as_vis=1&oi=scholarr>.","The US Supreme Court reversed the US Court of Appeals for the Fourth Circuit. The Court held that the judicial branch is not required to allow unconstitutional federal statutes to remain in effect during wartime because of *separation of powers*. The Court determined that the detainee’s constitutional right to due process allowed him access to an attorney and a court trial, in spite of the federal statute.",True,['2-2.2' '2-2.2-q3-supp-1']
1-1.4-q1,Harrison kills Calista and is prosecuted and sentenced to one year in jail. Did Harrison commit a felony or a misdemeanor?,"This crime is probably a *misdemeanor* because Harrison was sentenced to one year in *jail*, rather than prison. Although the result, Calista’s death, is very serious, the method of killing may have been accidental. Criminal homicide is discussed in Chapter 9.",False,['1-1.4']
1-1.4-q2,"Read *State v. Gillison*, 766 N.W. 2d 649 (2009). In *Gillison*, why did the Iowa Court of Appeals rule that the defendant’s prior convictions were felony convictions? What impact did this ruling have on the defendant’s sentence? The case is available at this link: [http://scholar.google.com/scholar\_case?case=8913791129507413362&q= State+v.+Gillison&hl=en&as\_sdt=2,5&as\_vis=1](http://scholar.google.com/scholar_case?case=8913791129507413362&q=State+v.+Gillison&hl=en&as_sdt=2,5&as_vis=1).","The Iowa Court of Appeals based its ruling on New Jersey law. Although New Jersey named the offenses “high misdemeanors,” New Jersey case law indicates that any offense with a sentence of one year or more incarceration is a common-law *felony*. This triggered a sentencing enhancement increasing the defendant’s sentence to an indeterminate sentence of incarceration not to exceed fifteen years.",True,['1-1.4' '1-1.4-q2-supp-1']
2-2.1-q1,"Congress passes a law criminalizing the posting of child pornography on the Internet. Where does Congress get the authority to pass this criminal law? If a state has a criminal law criminalizing the same conduct, can both the state *and* federal government prosecute a defendant for one act of downloading child pornography?",Congress gets the authority to criminalize conduct involving the Internet from the commerce clause because the Internet includes economic activity and *crosses state lines*. Both the federal and state government can prosecute the defendant under federal and state criminal statutes for one act without violating double jeopardy.,False,['2-2.1']
2-2.1-q2,"Read *U.S. v. Morrison*, 529 U.S. 518 (2000). Which part(s) of the Constitution did the US Supreme Court rely on when it held that 42 U.S.C. § 13981 is unconstitutional? The case is available at this link: <http://www.law.cornell.edu/supct/html/99-5.ZS.html>.","The US Supreme Court relied on the commerce clause and the Fourteenth Amendment. Specifically, the Court ruled that gender-motivated crimes of violence are not *economic activity* and do not have a *national* effect, so the commerce clause does not support federal legislation in this area. Furthermore, the Court held that the Fourteenth Amendment due process clause is targeted at state government action, not *individual* defendants, so it is likewise inapplicable.",True,['2-2.1' '2-2.1-q2-supp-1']
1-1.3-q1,"Jerry, a law enforcement officer, pulls Juanita over for speeding. When Jerry begins writing Juanita’s traffic ticket, she starts to berate him and accuse him of racial profiling. Jerry surreptitiously reaches into his pocket and activates a tape recorder. Juanita later calls the highway patrol where Jerry works and files a false complaint against Jerry. Jerry sues Juanita for $500 in small claims court for filing the false report. He uses the tape recording as evidence. Is this a **civil litigation matter** or a **criminal prosecution**?","This is a *civil litigation* matter. Although the incident involves Jerry, who is a law enforcement officer, and it takes place while Jerry is writing a traffic ticket, Jerry is suing Juanita for *damages*. Thus this is civil litigation, not criminal prosecution. If Juanita is *prosecuted* for the crime of filing a false police report, then this would be a criminal prosecution.",False,['1-1.3']
1-1.3-q2,"Read *Johnson v. Pearce*, 148 N.C.App. 199 (2001). In this case, the plaintiff sued the defendant for **criminal conversation**. Is this a civil litigation matter or a criminal prosecution? The case is available at this link: [http://scholar.google.com/scholar\_case?case=10159013992593966605&q= Johnson+v.+Pearce&hl=en&as\_sdt=2,5](http://scholar.google.com/scholar_case?case=10159013992593966605&q=Johnson+v.+Pearce&hl=en&as_sdt=2,5).",The *Johnson* case reviews an award of damages and is thus a *civil litigation* matter. Criminal conversation is the tort of adultery in North Carolina.,True,['1-1.3' '1-1.3-q2-supp-1']
3-3.4-q1,"A state statute prohibits inmates in state prison from engaging in consensual sodomy. An inmate is prosecuted under the statute. How will a court determine whether this statute is constitutional? Read the statute on which this exercise is based: California Penal Code § 286(e), <http://law.onecle.com/california/penal/286.html>.","The court will probably analyze whether the statute is constitutional under the **right to privacy** and the **equal protection clause**. The right to privacy analysis will use *strict scrutiny* because the right to privacy is *fundamental*. The state must demonstrate a *compelling* state interest in regulating sex in prison. The state’s arguments will probably focus on maintaining integrity, safety, and security in the institution. Under the equal protection clause analysis, the state has to show a *legitimate* state interest pursuant to the rational basis test because the category targeted—inmates in prison—is *rational*, not arbitrary.",True,['3-3.4' '3-3.4-q1-supp-1']
3-3.4-q2,"Read *Planned Parenthood v. Casey*, 505 U.S. 833 (1992). In *Casey*, Pennsylvania modified its abortion statute to include a twenty-four-hour waiting period and informed consent for minors. Did the US Supreme Court uphold the Pennsylvania abortion statute? The case is available at this link: <http://www.law.cornell.edu/supct/html/91-744.ZS.html>.","The Court upheld the statute, even though this case was post-*Roe v. Wade*. The Court reaffirmed *Roe*, but imposed a new standard for abortion laws. The new standard analyzes whether a state abortion law places an *undue burden* on a woman seeking an abortion. The Court held that the twenty-four-hour waiting period and informed consent for minors do not place such a burden. The Court did strike a separate requirement, which mandated husband notification before an abortion could take place.",True,['3-3.4' '3-3.4-q2-supp-1']
1-1.5-q1,What is one difference between criminal victims’ restitution and civil damages?,The court awards criminal restitution to the victim after a state or federal prosecutor is successful in a criminal trial. Thus the victim receives the restitution award *without paying* for a private attorney. A plaintiff that receives damages has to pay a private attorney to win the civil litigation matter.,False,['1-1.5']
1-1.5-q2,"Read *Campbell v. State*, 5 S.W.3d 693 (1999). Why did the defendant in this case claim that the restitution award was too high? Did the Texas Court of Criminal Appeals agree with the defendant’s claim? The case is available at this link: <http://scholar.google.com/scholar_case?case=11316909200521760089&hl=en&as_sdt=2&as_vis=1&oi=scholarr>.","In *Campbell*, the defendant entered a plea agreement specifying that he had committed theft in an amount *under* $100,000. The trial court determined that the defendant had *actually* stolen $100,000 and awarded restitution of $100,000 to various victims. The defendant claimed that this amount was excessive because it exceeded the parameters of the theft statute he was convicted of violating. The Texas Court of Criminal Appeals *disagreed* and held that the discretion of how much restitution to award belongs to the judge. As long as the judge properly ascertained this amount based on the facts, restitution could exceed the amount specified in the criminal statute the defendant was convicted of violating.",True,['1-1.5' '1-1.5-q2-supp-1']
4-4.3-q1,"Phillipa sees Fred picking up trash along the highway and decides she wants to frighten him. She drives a quarter of a mile ahead of Fred and parks her car. She then hides in the bushes and waits for Fred to show up. When Fred gets close enough, she jumps out of the bushes screaming. Frightened, Fred drops his trash bag and runs into the middle of the highway where he is struck by a vehicle and killed. Is Phillipa’s act the **legal cause** of Fred’s death? Why or why not?","Phillipa’s act is the **factual** and **legal cause** of Fred’s death. Phillipa’s act in jumping out of the bushes screaming caused Fred to run onto the highway, so Phillipa’s act is the factual cause of Fred’s death. In addition, a reasonable person could *foresee* that frightening someone next to a major highway might result in them trying to escape onto the highway, where a vehicle traveling at a high rate of speed could hit them. Thus Phillipa’s act is *also* the legal cause of Fred’s death.",False,['4-4.3']
4-4.3-q3,"Read *Commonwealth v. Casanova*, 429 Mass. 293 (1999). In *Casanova*, the defendant shot the victim in 1991, paralyzing him. The defendant was convicted of assault with intent to murder and two firearms offenses. In 1996, the victim died. The defendant was thereafter indicted for his murder. Massachusetts had abolished the year and a day rule in 1980. Did the Massachusetts Supreme Judicial Court uphold the indictment, or did the court establish a new death timeline rule? The case is available at this link: <http://scholar.google.com/scholar_case?case=16055857562232849296&hl=en&as_sdt=2&as_vis=1&oi=scholarr>.","The Massachusetts Supreme Judicial Court upheld the defendant’s indictment, and did not create a new death timeline rule.",True,['4-4.3' '4-4.3-q3-supp-1']
3-3.3-q1,"A state statute enhances the penalty for battery if the crime is committed “because of the victim’s race.” To prove race-biased intent, it is frequently necessary to admit evidence of the defendant’s statements indicating racial hatred and intolerance. Does this statute violate the First Amendment’s free speech protection? Why or why not? Read the case on which this question is based, *Wisconsin v. Mitchell*, 508 U.S. 47 (1993). The case is available at this link: <http://www.law.cornell.edu/supct/html/92-515.ZO.html>.",The statute does not violate the First Amendment’s free speech protection because *battery* is not speech and is not covered by the First Amendment.,True,['3-3.3' '3-3.3-q1-supp-1']
3-3.3-q2,"Read *Reno v. American Civ. Liberties Union*, 521 U.S. 844 (1997). This case reviews the constitutionality of a federal statute regulating Internet activity to protect minors. Why did the US Supreme Court hold that certain provisions of the federal Communications Decency Act of 1996 were unconstitutional? The case is available at this link: caselaw.lp.findlaw.com/scripts/getcase.pl?court=us&vol=000&invol=96-511.","The US Supreme Court held that the provisions were unconstitutional under the First Amendment because they were *vague* and *content based*. The Act did not specifically define “indecent” communications, or demonstrate that offensive material lacks any value under the three-part test for obscenity set forth in *Miller*.",False,['3-3.3']
3-3.3-q3,"Read *Holder v. Humanitarian Law Project*, 130 S. Ct. 2705 (2010). Did the US Supreme Court uphold a federal statute prohibiting aid to terrorist groups? Why or why not? The case is available at this link: <http://scholar.google.com/scholar_case?case=3116082426854631219&hl=en&as_sdt=2&as_vis=1&oi=scholarr>.","The US Supreme Court upheld 18 U.S.C. § 2339B (a) (1) *as applied*. The Court ruled that the federal government can prohibit aid to terrorist groups, even if it consists of training and advice on *legal* activities, without violating the First Amendment.",True,['3-3.3' '3-3.3-q3-supp-1']
5-5.5-q1,"Allen tackles Brett during a high school football game, and Brett is severely injured. Can Allen be criminally prosecuted for battery? Why or why not?","In most jurisdictions, Allen cannot be criminally prosecuted because Brett **consented** to being tackled by *choosing* to participate in football, a contact sport.",False,['5-5.5']
5-5.5-q2,"Read *Donaldson v. Lungren*, 2 Cal. App. 4th 1614 (1992). In *Donaldson*, the defendant sought court permission to be cryogenically frozen because he had a brain tumor and wanted to be frozen until there was a cure. The defendant also sought to protect the individual who was going to help with the process and filed a lawsuit seeking an injunction and immunity from criminal prosecution for **assisted suicide**. The defendant claimed he had a constitutional right to **consent** to this procedure. Did the Court of Appeals of California uphold the defendant’s right to be frozen—that is, to commit suicide? The case is available at this link: www.rickross.com/reference/alcor/alcor7.html.","The Court of Appeals of California held that the defendant had no constitutional right to be cryogenically frozen and affirmed the lower court’s dismissal of his lawsuit seeking an injunction and immunity from criminal prosecution. The court reasoned that the defendant’s right to refuse medical treatment is different from involving another individual in his death. It thereafter held that the defendant was legally free to commit suicide, but he could not authorize another to kill him.",False,['5-5.5']
5-5.5-q3,"Read *Ramey v. State*, 417 S.E.2d 699 (1992). In *Ramey*, the defendant, a police officer, was convicted of battery for beating the defendant with a flashlight and burning his nipples. The defendant claimed that the victim, who appeared to have mental problems, consented to this treatment. The trial court refused to instruct the jury on the consent defense. Did the Court of Appeals of Georgia uphold the defendant’s conviction? The case is available at this link: <http://scholar.google.com/scholar_case?case=10809733884390698075&hl=en&as_sdt=2002&as_vis=1>.","The Court of Appeals of Georgia upheld the defendant’s conviction for battery. The court stated, “It is the act and intent and results of the defendant’s act which constitute the crimes as charged; the attitude of the victim is not called into issue by these elements.”*Ramey v. State*, 417 S.E.2d 699, 701 (1992), accessed November 23, 2010, <http://scholar.google.com/scholar_case?case=10809733884390698075&hl=en&as_sdt=2002&as_vis=1>.",True,['5-5.5' '5-5.5-q3-supp-1']
4-4.2-q1,"As Jordan is driving to school, she takes her eyes off the road for a moment and rummages through her purse for her phone. This causes her to run a stop sign. Jordan is thereafter pulled over by law enforcement and issued a traffic ticket. What is Jordan’s criminal intent in this case? Is Jordan criminally responsible for running the stop sign? Why or why not?","Jordan is acting **recklessly** or **negligently**. If Jordan is an experienced driver, then she knows that there is a substantial risk of injury or harm when a driver takes his or her eyes off the road. If Jordan is not an experienced driver, she may not be aware of the risk, but she *should be* because she has been trained to drive and has passed exams and practical driving tests that emphasize this fact. Whether Jordan’s intent is reckless or negligent is probably irrelevant because most states make running a stop sign a **strict liability** offense with no criminal intent required.",False,['4-4.2']
4-4.2-q2,"Read *Morissette v. U.S.*, 342 U.S. 246 (1952). In *Morissette*, the defendant was convicted of unlawful conversion of federal property for gathering and selling spent bomb casings dropped during US Air Force practice maneuvers. The statute required “knowing” conversion of the property, and the defendant claimed he believed the property was *abandoned*. Did the US Supreme Court uphold the defendant’s conviction? Why or why not? The case is available at this link: <http://scholar.google.com/scholar_case?case=787130527265701764&hl=en&as_sdt=2&as_vis=1&oi=scholarr>.",The US Supreme Court reversed the defendant’s conviction. The Court disagreed with the lower court that this was a strict liability public welfare offense and determined that a *presumption* of intent was inappropriate. The Court held that criminal intent was an element of the offense that the trier of fact needed to find beyond a reasonable doubt.,True,['4-4.2' '4-4.2-q2-supp-1']
4-4.2-q3,"Read *State v. Crosby*, 154 P.3d 97 (2007). In *Crosby*, the defendant was convicted of manslaughter of a dependent person by neglect. The defendant’s mother died of “sepsis” and was brought to the hospital covered with feces and bedsores. The defendant was her mother’s caregiver. The jury was instructed that the defendant possessed the mental state of “recklessness” under the statute if she disregarded a substantial risk of **harm** or **circumstances**. The jury asked the judge if “circumstances” included the *bedsores* or *just death*. He responded that the risk could be more than just death and left it up to the jury to decide. Did the Supreme Court of Oregon uphold the defendant’s conviction? Why or why not? The case is available at this link: [http://scholar.google.com/scholar\_case?case=10006178173306648171&q= State+v.+Crosby+S53295&hl=en&as\_sdt=2,5](http://scholar.google.com/scholar_case?case=10006178173306648171&q=State+v.+Crosby+S53295&hl=en&as_sdt=2,5).","The Oregon Supreme Court reversed and held that the substantial risk applied to the victim’s *death* (bad result), not the victim’s *bedsores* (attendant circumstances).",True,['4-4.2' '4-4.2-q3-supp-1']
3-3.2-q1,A local ordinance makes it a misdemeanor to dress in “gang attire.” Is this ordinance constitutional? Why or why not?,"The ordinance is void for vagueness and overbroad, violating the First Amendment and the Fourteenth Amendment due process clause. The term *gang attire* is **void for vagueness** because it is imprecise, can mean different things to different people, fails to give notice of what is criminal, and gives too much discretion to law enforcement. The ordinance is **overbroad** because prohibiting all individuals from wearing gang attire probably includes First Amendment constitutionally protected conduct, such as wearing a gang-related Halloween costume or wearing a costume to act in a play or movie.",False,['3-3.2']
3-3.2-q2,"Read *Smith v. Goguen*, 415 U.S. 566 (1974). Why did the US Supreme Court strike down the Massachusetts flag misuse statute? The case is available at this link: <http://scholar.google.com/scholar_case?case=14723025391522670978&hl=en&as_sdt=2&as_vis=1&oi=scholarr>.","In *Smith*, the US Supreme Court held that the flag misuse statute was **void for vagueness**. The Court stated,

  But there is no comparable reason for committing broad discretion to law enforcement officials in the area of flag contempt. Indeed, because display of the flag is so common and takes so many forms, changing from one generation to another and often difficult to distinguish in principle, a legislature should define with some care the flag behavior it intends to outlaw.*Smith v. Goguen*, 415 U.S. 566, 582 (1974), accessed October 3, 2010, <http://scholar.google.com/scholar_case?case=14723025391522670978&hl=en&as_sdt=2&as_vis=1&oi=scholarr>.",True,['3-3.2' '3-3.2-q2-supp-1']
3-3.2-q4,"Read Justice Sandra Day O’Connor’s concurring opinion in *Lawrence v. Texas*, 539 U.S. 558 (2003). Why did Justice O’Conner feel that Texas’s sodomy law was unconstitutional? The case is available at this link: <http://www.law.cornell.edu/supct/html/02-102.ZC.html>.","Justice O’Connor said that the Texas sodomy statute was unconstitutional pursuant to the **equal protection clause**. The statute only criminalized sodomy between *persons of the same sex*, so it targeted gay couples without a rational basis.",True,['3-3.2' '3-3.2-q4-supp-1']
5-5.4-q1,"A fire sweeps through a residential neighborhood. Clark and Manny light their neighbor’s house on fire to create a firebreak. This prevents several houses from burning, including Clark’s and Manny’s. Do Clark and Manny have a defense to arson in this case? Why or why not?","Clark and Manny can use **choice of evils** as a defense to arson in many jurisdictions. Clark and Manny were confronted with two harms: the loss of several homes or the loss of their neighbor’s home. Clark and Manny ranked the loss of one home lower than the loss of several homes, which is *objectively reasonable*. Thus Clark and Manny could be acquitted or have a reduction in sentence or severity of the offense, depending on the jurisdiction.",False,['5-5.4']
5-5.4-q2,"Read *People v. Lovercamp*, 43 Cal. App. 3d 823 (1974). In *Lovercamp*, the defendants escaped from prison and were immediately captured. The defendants claimed they were forced to escape because a group of prisoners threatened them with sexual assault. The trial court did not allow the defendants to introduce evidence supporting the defense of **necessity**, and the defendants were convicted of escape. Did the Court of Appeals of California uphold their conviction for escape? The case is available at this link: <http://scholar.google.com/scholar_case?case=6496346791408865822&hl=en&as_sdt=2&as_vis=1&oi=scholarr>.",The Court of Appeals of California held that the defendants should have been allowed to present evidence in support of the **necessity** defense and were entitled to a retrial.,True,['5-5.4' '5-5.4-q2-supp-1']
5-5.4-q3,"Read *State v. Daoud*, 141 N.H. 142 (1996). In *Daoud*, the defendant was convicted of driving while under the influence. The defendant appealed because the trial court did not allow her to present evidence in support of the **duress** defense. Did the Supreme Court of New Hampshire uphold the defendant’s conviction? The case is available at this link: <http://scholar.google.com/scholar_case?case=18389754229002463686&hl=en&as_sdt=2&as_vis=1&oi=scholarr>.","The Supreme Court of New Hampshire upheld the defendant’s conviction. The court recognized that a common-law defense of **duress** exists in some jurisdictions, but held that the facts in the defendant’s case did not indicate that she was under duress. The court stated the defendant had lawful alternatives to driving while under the influence, such as calling a taxi or a friend for a ride or walking.",True,['5-5.4' '5-5.4-q3-supp-1']
4-4.1-q1,"Jacqueline is diagnosed with epilepsy two years after receiving her driver’s license. While driving to a concert, Jacqueline suffers an epileptic seizure and crashes into another vehicle, injuring both of its occupants. Can Jacqueline be convicted of a crime in this situation? Why or why not?","Jacqueline can be convicted of a crime in this situation. Although an epileptic seizure is not a voluntary act, Jacqueline’s conduct in driving while aware that she has epilepsy *is*. Only *one* voluntary act is required for a crime, and Jacqueline was able to control her decision making in this instance. Punishing Jacqueline for driving with epilepsy could specifically deter Jacqueline from driving on another occasion and is appropriate under the circumstances.",False,['4-4.1']
4-4.1-q2,"Read *Oler v. State*, 998 S.W.2d 363 (1999). In *Oler*, the defendant was convicted of possession of a controlled substance by misrepresentation. The defendant solicited and received prescriptions for Dilaudid, a controlled substance, from four different physicians without informing them that he already had a prescription for Dilaudid. The defendant appealed, arguing that he had no *legal duty* to disclose his previous receipt of the drug to the physicians, and was therefore unlawfully punished for an **omission to act**. Did the Texas Court of Appeals uphold the defendant’s conviction? Why or why not? The case is available at this link: [http://scholar.google.com/scholar\_case?case=460187562193844690&q= 998+S.W.2d+363&hl=en&as\_sdt=10000000000002](http://scholar.google.com/scholar_case?case=460187562193844690&q=998+S.W.2d+363&hl=en&as_sdt=10000000000002).","The Texas Court of Appeals upheld the defendant’s indictment and conviction. The court stated that the defendant’s conduct in deliberately seeking out four physicians and presenting his medical problem to them with the intent to gain a prescription for a controlled substance in violation of Texas law is a criminal *act*, not an *omission to act*.",True,['4-4.1' '4-4.1-q2-supp-1']
4-4.1-q3,"Read *Staples v. U.S.*, 511 U.S. 600 (1994). In *Staples*, the defendant was convicted of possession of an unregistered automatic weapon in violation of the National Firearms Act. The defendant claimed the conviction was improper because the prosecution did not prove that *he knew* the weapon was automatic, and the prosecution must prove this knowledge to convict under the statute. Did the US Supreme Court reverse the defendant’s conviction? Why or why not? The case is available at this link: <http://www.law.cornell.edu/supct/html/92-1441.ZO.html>.",The US Supreme Court reversed the defendant’s conviction and held that the prosecution must prove that the defendant *knew the weapon was automatic* to convict him of failure to register an automatic weapon.,True,['4-4.1' '4-4.1-q3-supp-1']
3-3.1-q1,A public university raises tuition in the middle of the semester after students have already paid and sends all registered students a bill for “fees past due.” Does this violate the prohibition on ex post facto laws? Why or why not?,The public university can impose a retroactive tuition because this is not a *criminal* statute or procedure and does not violate the prohibition against ex post facto laws.,False,['3-3.1']
3-3.1-q2,"Read *Smith v. Doe*, 538 U.S. 84 (2003). Why did the US Supreme Court hold that Alaska’s Megan’s Law is constitutional? The case is available at this link: <http://scholar.google.com/scholar_case?case=14879258853492825339&hl=en&as_sdt=2&as_vis=1&oi=scholarr>.","In *Smith*, the US Supreme Court held that Alaska’s Megan’s Law statute was not *criminal*, but part of a civil regulatory scheme, and thus did not violate the prohibition against ex post facto laws.",True,['3-3.1' '3-3.1-q2-supp-1']
1-1.6-q1,Hal invents a new drug that creates a state of euphoria when ingested. Can Hal be criminally prosecuted for ingesting his new drug?,"Hal can be prosecuted for ingesting his new drug only if he is in a state that allows for common-law crimes. The *drug is new*, so the state legislature will probably *not* have criminalized it by enacting a statute.",False,['1-1.6']
